df,feature,hedges_g,label,mean_abnormal,mean_normal,p,p_holm,resolution,sd_abnormal,sd_normal,t,task,unit
515.0546400106865,lab_L,-2.4821184131197165,CIELAB $L^*$,16.533053855755263,50.10766743713689,5.051151915470918e-157,8.990360146931084e-156,native,2.4054807194433976,18.96315734359429,-39.27526091065066,you_chalk_brood,0--100
515.0392458230862,lab_L,-2.4822221760434555,CIELAB $L^*$,16.494445417815566,50.07417026893766,4.994644526072825e-157,8.990360146931084e-156,256$\times$256,2.404610353351344,18.965395461686565,-39.27690278070857,you_chalk_brood,0--100
692.397701091578,lab_a,2.057048886173894,CIELAB $a^*$,6.36258491415895,1.237873757716049,1.0547381086849847e-141,1.1602119195534833e-140,native,1.442241550735324,3.21159846783695,32.549265693129655,you_chalk_brood,CIE units
693.5052423588938,lab_a,2.0551899404694454,CIELAB $a^*$,6.360673095703125,1.2518162841796876,1.2878721156578004e-141,1.2878721156578004e-140,256$\times$256,1.442794131569241,3.2028882481407726,32.519851070050024,you_chalk_brood,CIE units
893.8430926626954,lab_b,-1.9488192353198244,CIELAB $b^*$,-8.403320643325616,-1.2705560252700614,8.598896799711934e-143,1.0318676159654321e-141,native,4.235771556097921,2.968134725763235,-30.836717350111826,you_chalk_brood,CIE units
893.6798115904016,lab_b,-1.950357401690964,CIELAB $b^*$,-8.391969818115234,-1.2599376525878907,6.078480436201252e-143,7.902024567061628e-142,256$\times$256,4.232467480324249,2.9648168811916213,-30.861056191172427,you_chalk_brood,CIE units
535.095474788367,rgb_r,-2.593059501823246,Mean red,44.23410699652777,121.52053387538581,2.2190344846596367e-167,4.4380689693192736e-166,native,7.8740813617225465,41.376540620331085,-41.030713100808754,you_chalk_brood,0--255
535.0405438464112,rgb_r,-2.5929478039879976,Mean red,44.143645294189454,121.4343009033203,2.2998213600673815e-167,4.4380689693192736e-166,256$\times$256,7.8690511612900425,41.3816904202354,-41.02894567440423,you_chalk_brood,0--255
510.4404772011451,rgb_g,-2.3898527665912828,Mean green,38.81335831983025,120.34802222318672,3.9585378591071643e-150,5.9378067886607465e-149,native,5.1329790157253585,47.93846774717541,-37.81531551830352,you_chalk_brood,0--255
510.4253749241551,rgb_g,-2.389693988811232,Mean green,38.72614669799805,120.26105654907226,4.0772134822513425e-150,5.9378067886607465e-149,256$\times$256,5.129983739471371,47.94215629892202,-37.812803132631124,you_chalk_brood,0--255
513.0179282634994,rgb_b,-1.9539375119245073,Mean blue,54.24412996334876,123.18593182677469,2.8131739350477413e-119,2.4610540144524343e-118,native,5.868815445641971,49.51433525512316,-30.91770528686749,you_chalk_brood,0--255
513.0120381928352,rgb_b,-1.9541102767053602,Mean blue,54.14136776733398,123.09525811767578,2.734504460502705e-119,2.4610540144524343e-118,256$\times$256,5.86810892497914,49.51878307483127,-30.920438992805252,you_chalk_brood,0--255
511.9317629262591,mean_intensity_256,-2.3998022421001877,Mean grey level,42.10270816040039,120.8656813659668,5.27391297793658e-151,8.438260764698528e-150,--,5.246129596316979,46.08280963842902,-37.97274888025391,you_chalk_brood,0--255
nan,native_w,0.0,Image width,1920.0,1920.0,1.0,1.0,--,0.0,0.0,nan,you_chalk_brood,px
nan,native_h,0.0,Image height,1080.0,1080.0,1.0,1.0,--,0.0,0.0,nan,you_chalk_brood,px
577.1960639430298,file_size_bytes,0.6519849299432237,JPEG file size,1126900.566,915251.508,5.131160752734525e-23,2.5655803763672623e-22,--,124011.3535631588,441660.66761004814,10.316541748363935,you_chalk_brood,bytes
782.4562835339699,otsu_largest_area_px,-1.4409950090081083,Largest Otsu blob area,997774.604,1580360.43,1.2217115344197786e-88,8.551980740937473e-88,--,498867.0749371529,278474.14446020976,-22.801271144274438,you_chalk_brood,native px
782.4562835339701,otsu_largest_area_frac,-1.440995009008109,Largest Otsu blob area,0.48117988233024694,0.7621336950231482,1.221711534419639e-88,8.551980740937473e-88,--,0.2405801866016362,0.13429501565403634,-22.801271144274445,you_chalk_brood,fraction of frame
676.4381419581972,otsu_circularity,-0.6258913916147282,Largest Otsu blob circularity,0.07820767242201197,0.16293312322009962,1.101929856998851e-21,4.407719427995404e-21,--,0.07537667101634542,0.17581833168824135,-9.90365631932204,you_chalk_brood,dimensionless
836.3153307074549,otsu_aspect_ratio,0.31573789024247584,Largest Otsu blob aspect ratio,1.625718591598101,1.5424232354996508,7.12793609073824e-07,2.1383808272214717e-06,--,0.3163023587424578,0.19732431096327416,4.996009841071797,you_chalk_brood,dimensionless
