df,feature,hedges_g,label,mean_abnormal,mean_normal,p,p_holm,resolution,sd_abnormal,sd_normal,t,task,unit
997.9799023137978,lab_L,-1.3460192103784046,CIELAB $L^*$,24.620815299337327,50.10766743713689,2.851972817195815e-83,4.277959225793722e-82,native,18.878248761387738,18.96315734359429,-21.298442249543896,you_foulbrood,0--100
997.9781417835214,lab_L,-1.3463339088288686,CIELAB $L^*$,24.580792332069546,50.07417026893766,2.6511376033573024e-83,4.241820165371684e-82,256$\times$256,18.876843934012964,18.965395461686565,-21.303421812035687,you_foulbrood,0--100
997.8721950406756,lab_a,1.285072216440566,CIELAB $a^*$,5.344939664351852,1.237873757716049,3.537549116047167e-77,3.8913040276518835e-76,native,3.175455741821257,3.21159846783695,20.334060745431906,you_foulbrood,CIE units
997.8935835231671,lab_a,1.2834788816166232,CIELAB $a^*$,5.344669525146484,1.2518162841796876,5.0840331508595536e-77,5.084033150859554e-76,256$\times$256,3.169981953687078,3.2028882481407726,20.30884895835615,you_foulbrood,CIE units
822.396721298951,lab_b,-1.541228430738535,CIELAB $b^*$,-7.512530450424382,-1.2705560252700614,2.8406116040852774e-99,5.397162047762027e-98,native,4.893451621263418,2.968134725763235,-24.387292894736316,you_foulbrood,CIE units
822.0415242484864,lab_b,-1.5416548840951518,CIELAB $b^*$,-7.499949615478515,-1.2599376525878907,2.6394818213127603e-99,5.2789636426255207e-98,256$\times$256,4.891508161778943,2.9648168811916213,-24.39404078668169,you_foulbrood,CIE units
994.1151249881265,rgb_r,-1.3684738672573378,Mean red,62.996448937114195,121.52053387538581,1.7347220685982438e-85,2.949027516617014e-84,native,44.049265076313155,41.376540620331085,-21.653748629335336,you_foulbrood,0--255
994.1576983048049,rgb_r,-1.3687847232285353,Mean red,62.90039959716797,121.4343009033203,1.6110829736025734e-85,2.8999493524846322e-84,256$\times$256,44.0395005447033,41.3816904202354,-21.658667391192093,you_foulbrood,0--255
997.5358265722562,rgb_g,-1.2918872847968756,Mean green,59.02818216435185,120.34802222318672,7.53452764594977e-78,1.0064585102202373e-76,native,46.91529029034552,47.93846774717541,-20.4418974974592,you_foulbrood,0--255
997.5230803857999,rgb_g,-1.2920942577266818,Mean green,58.935506622314456,120.26105654907226,7.18898935871598e-78,1.0064585102202373e-76,256$\times$256,46.90508706229046,47.94215629892202,-20.445172488602502,you_foulbrood,0--255
983.3014122208409,rgb_b,-1.081289219983545,Mean blue,72.60904271990742,123.18593182677469,1.2028108104280382e-57,7.833345338903282e-57,native,43.78908845544408,49.51433525512316,-17.109544818754532,you_foulbrood,0--255
983.2549277933425,rgb_b,-1.081637509150841,Mean blue,72.50195257568359,123.09525811767578,1.1190493341290403e-57,7.833345338903282e-57,256$\times$256,43.78430580884333,49.51878307483127,-17.11505589664896,you_foulbrood,0--255
997.8700834262575,mean_intensity_256,-1.2907708066017864,Mean grey level,61.67532067871094,120.8656813659668,9.635137782602888e-78,1.1562165339123467e-76,--,45.55995902719716,46.08280963842902,-20.424231147545594,you_foulbrood,0--255
nan,native_w,0.0,Image width,1920.0,1920.0,1.0,1.0,--,0.0,0.0,nan,you_foulbrood,px
nan,native_h,0.0,Image height,1080.0,1080.0,1.0,1.0,--,0.0,0.0,nan,you_foulbrood,px
637.6302883786886,file_size_bytes,0.6330162434128362,JPEG file size,1126644.512,915251.508,4.961572267757141e-22,2.4807861338785707e-21,--,166252.89752101802,441660.66761004814,10.016394862270399,you_foulbrood,bytes
689.3620534548114,otsu_largest_area_px,-1.1397636951518637,Largest Otsu blob area,1028171.182,1580360.43,7.448140818290786e-60,6.7033267364613265e-59,--,625445.857227579,278474.14446020976,-18.03480295982869,you_foulbrood,native px
689.3620534548114,otsu_largest_area_frac,-1.1397636951518642,Largest Otsu blob area,0.49583872588734573,0.7621336950231482,7.448140818290362e-60,6.7033267364613265e-59,--,0.3016231950364482,0.13429501565403634,-18.034802959828692,you_foulbrood,fraction of frame
928.0150587935206,otsu_circularity,-0.029052731239716537,Largest Otsu blob circularity,0.1569311574375142,0.16293312322009962,0.6458323704288949,1.0,--,0.2330609650840183,0.17581833168824135,-0.4597095745213519,you_foulbrood,dimensionless
799.0988848450978,otsu_aspect_ratio,0.19014779067191995,Largest Otsu blob aspect ratio,1.5954675286138609,1.5424232354996508,0.002705516542076168,0.010822066168304672,--,0.3412777227027124,0.19732431096327416,3.008762213256763,you_foulbrood,dimensionless
