Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,LIME,49.19465405959805,34.4311377245509
0,SHAP,49.25728187023756,11.676646706586826
1,LIME,43.70457482683453,39.33933933933934
1,SHAP,50.84809078752797,17.71771771771772
2,LIME,45.61694683979403,33.633633633633636
2,SHAP,46.47103174582536,14.714714714714713
CV_MEAN,LIME,46.17205857540887,35.801370232507956
CV_MEAN,SHAP,48.858801467863636,14.703026379673085
ALL,LIME,46.17508117089306,35.8
ALL,SHAP,48.859199948266,14.7
