Class,Model,Ratio,Acc,BA,AUROC,AUPR,F1 Score,Precision,Recall,Fold
you_chalk_brood,efficientnetv2_proposal,10:90,0.9567567567567568,0.7777777777777778,0.9474384564204923,0.9907262378190562,0.9766081871345029,0.9542857142857143,1.0,0
you_chalk_brood,efficientnetv2_proposal,30:70,0.9416666666666667,0.9027777777777778,0.9719742063492064,0.9826995403110155,0.96,0.9230769230769231,1.0,0
you_chalk_brood,efficientnetv2_proposal,50:50,0.8734939759036144,0.8734939759036144,0.9704964436057484,0.964214577493972,0.8877005347593583,0.7980769230769231,1.0,0
you_chalk_brood,efficientnetv2_proposal,70:30,0.8220338983050848,0.8727272727272728,0.9681604780196329,0.9177318809782681,0.7717391304347826,0.6283185840707964,1.0,0
you_chalk_brood,efficientnetv2_proposal,90:10,0.7704918032786885,0.8727272727272728,0.971043771043771,0.7458505190940103,0.46153846153846156,0.3,1.0,0
you_chalk_brood,efficientnetv2_proposal,10:90,0.9653179190751445,0.8235294117647058,0.979260935143288,0.9977157694168894,0.9811320754716981,0.9629629629629629,1.0,1
you_chalk_brood,efficientnetv2_proposal,30:70,0.9103139013452914,0.8507462686567164,0.983926521239954,0.9934858607942239,0.9397590361445783,0.8863636363636364,1.0,1
you_chalk_brood,efficientnetv2_proposal,50:50,0.8694267515923567,0.8694267515923566,0.9854355146253398,0.986692853594553,0.8845070422535212,0.7929292929292929,1.0,1
you_chalk_brood,efficientnetv2_proposal,70:30,0.804,0.86,0.9917714285714286,0.9847999568381135,0.7537688442211056,0.6048387096774194,1.0,1
you_chalk_brood,efficientnetv2_proposal,90:10,0.7474226804123711,0.86,0.9840601503759399,0.93297093623251,0.4367816091954023,0.27941176470588236,1.0,1
you_chalk_brood,efficientnetv2_proposal,10:90,0.9844559585492227,0.9210526315789473,0.9924379915305505,0.9991600785138406,0.9914529914529915,0.9830508474576272,1.0,2
you_chalk_brood,efficientnetv2_proposal,30:70,0.9,0.8333333333333333,0.9916190476190476,0.9965583079273529,0.9333333333333333,0.875,1.0,2
you_chalk_brood,efficientnetv2_proposal,50:50,0.870253164556962,0.870253164556962,0.9929498477808043,0.99360736396622,0.8851540616246498,0.7939698492462312,1.0,2
you_chalk_brood,efficientnetv2_proposal,70:30,0.8169642857142857,0.8694267515923566,0.9877364768514119,0.9773736695406727,0.7657142857142857,0.6203703703703703,1.0,2
you_chalk_brood,efficientnetv2_proposal,90:10,0.764367816091954,0.8694267515923566,0.9992506556762832,0.9938080495356038,0.4533333333333333,0.29310344827586204,1.0,2
