NoiseLevel,BA,Loss,Recall,Precision,F1 Score,AUROC,AUPR,Fold
0.0,0.8734939759036144,0.4473999105449654,1.0,0.8,0.8888888888888888,0.9696643717728055,0.9637351538512753,0
0.1,0.8765418818129662,0.40115725936669255,0.9940476190476191,0.8067632850241546,0.8906666666666667,0.9770869191049913,0.9764146656463171,0
0.2,0.8885900745840505,0.3153587500983013,0.9940476190476191,0.8226600985221675,0.9002695417789758,0.9797403901319564,0.9800669313354456,0
0.3,0.9008534136546185,0.22039019648811062,0.9583333333333334,0.8609625668449198,0.9070422535211268,0.980134825014343,0.9807639346308776,0
0.4,0.9163439472174412,0.25666749218623797,0.8869047619047619,0.9430379746835443,0.9141104294478528,0.9801348250143431,0.9806003495245805,0
0.5,0.5386904761904762,0.7584956782217511,0.07738095238095238,1.0,0.143646408839779,0.980780263912794,0.9816934332764334,0
0.0,0.8607954545454546,0.28350204618664476,1.0,0.7621359223300971,0.8650137741046832,0.9847278517660683,0.9848114029104273,1
0.1,0.8664772727272727,0.27238117033117887,1.0,0.7696078431372549,0.8698060941828255,0.9851621308627678,0.9852250405289698,1
0.2,0.8771533005211349,0.256921662493153,0.9872611464968153,0.7908163265306123,0.8781869688385269,0.9856325998841922,0.9857183673593654,1
0.3,0.8991929646786334,0.24733542062498787,0.9745222929936306,0.8315217391304348,0.8973607038123167,0.9851259409380428,0.9850408266188888,1
0.4,0.9245078170237406,0.28814598219888704,0.9171974522292994,0.9230769230769231,0.9201277955271565,0.9835697741748697,0.9828133187505199,1
0.5,0.6369426751592356,0.44120035801563895,0.27388535031847133,1.0,0.43,0.9801317313259987,0.9782780420649214,1
0.0,0.870253164556962,0.42643540638971617,1.0,0.8101851851851852,0.8951406649616368,0.9932368896925858,0.9943773143514038,2
0.1,0.8993490054249548,0.19421966521589606,0.9885714285714285,0.8522167487684729,0.9153439153439153,0.9922603978300182,0.9936678281837645,2
0.2,0.9542857142857143,0.14250523236778764,0.9085714285714286,1.0,0.9520958083832335,0.9916455696202532,0.9932336773937607,2
0.3,0.6457142857142857,0.60690989437046,0.2914285714285714,1.0,0.45132743362831856,0.9907052441229656,0.9925866285092008,2
0.4,0.5,1.2825099966368518,0.0,0.0,0.0,0.9701265822784809,0.9681025348983926,2
0.5,0.5,1.769183290792299,0.0,0.0,0.0,0.8920433996383363,0.8488227884838581,2
