NoiseLevel,BA,Loss,Recall,Precision,F1 Score,AUROC,AUPR,Fold
0.0,0.9582257601835915,0.14047990114745978,0.9345238095238095,0.98125,0.9573170731707317,0.9846528973034997,0.989139717571619,0
0.1,0.9434523809523809,0.21084096777938796,0.8869047619047619,1.0,0.9400630914826499,0.9712062535857717,0.978723021357213,0
0.2,0.5267857142857143,1.1056694527586064,0.05357142857142857,1.0,0.1016949152542373,0.4447074010327023,0.5386824834524404,0
0.3,0.5,1.4025324732957485,0.0,0.0,0.0,0.24637837062535858,0.4511858454450764,0
0.4,0.5,1.415108632184788,0.0,0.0,0.0,0.20507028112449796,0.4281457226225025,0
0.5,0.5,1.391101448835727,0.0,0.0,0.0,0.18724899598393574,0.39162909245131033,0
0.0,0.9130537058482918,0.2293240952420163,0.9681528662420382,0.8587570621468926,0.9101796407185628,0.9754994209612043,0.9629740396379822,1
0.1,0.9139222640416909,0.19424172904756334,0.8789808917197452,0.9387755102040817,0.9078947368421053,0.9789012738853504,0.973791965406841,1
0.2,0.8471337579617835,0.3900669269912594,0.6942675159235668,1.0,0.8195488721804511,0.9843659525188188,0.9849060240111353,1
0.3,0.5445859872611465,1.1223896386566106,0.08917197452229299,1.0,0.16374269005847952,0.9862478286045165,0.986875096047183,1
0.4,0.5,1.8798316049056727,0.0,0.0,0.0,0.9842211928199189,0.9837405800596117,1
0.5,0.5,2.28649483140077,0.0,0.0,0.0,0.9751013317892299,0.9695196600631893,1
0.0,0.8974141048824593,0.2582149457287144,0.9657142857142857,0.8622448979591837,0.9110512129380054,0.9763471971066908,0.9801416096424662,2
0.1,0.9223327305605786,0.18467371053881831,0.9142857142857143,0.935672514619883,0.9248554913294798,0.9828571428571429,0.9853208014580579,2
0.2,0.8768354430379747,0.3658463831420417,0.76,0.9925373134328358,0.86084142394822,0.9578300180831827,0.9686861223157097,2
0.3,0.5371428571428571,1.4121282064878904,0.07428571428571429,1.0,0.13829787234042554,0.7547558770343581,0.6960924973918954,2
0.4,0.5171428571428571,1.7981818513469294,0.03428571428571429,1.0,0.06629834254143646,0.6908499095840868,0.6540059606629496,2
0.5,0.5,1.9265650543006692,0.0,0.0,0.0,0.5970343580470162,0.5892459808217951,2
