Class,Model,Ratio,Acc,BA,AUROC,AUPR,F1 Score,Precision,Recall,Fold
you_foulbrood,efficientnetv2_proposal,10:90,0.9297297297297298,0.9115103127079175,0.9800399201596807,0.9979233741655998,0.96,0.9873417721518988,0.9341317365269461,0
you_foulbrood,efficientnetv2_proposal,30:70,0.95,0.9603174603174603,0.9874338624338626,0.9955602605805013,0.9631901840490797,0.9936708860759493,0.9345238095238095,0
you_foulbrood,efficientnetv2_proposal,50:50,0.9578313253012049,0.9578313253012047,0.9844679924517347,0.98890829089499,0.9567901234567902,0.9810126582278481,0.9337349397590361,0
you_foulbrood,efficientnetv2_proposal,70:30,0.961864406779661,0.9486555697823303,0.9722577891591976,0.9688575724739327,0.935251798561151,0.9558823529411765,0.9154929577464789,0
you_foulbrood,efficientnetv2_proposal,90:10,0.9836065573770492,0.990909090909091,0.9993265993265994,0.9944444444444447,0.9230769230769231,0.8571428571428571,1.0,0
you_foulbrood,efficientnetv2_proposal,10:90,0.953757225433526,0.8957390648567118,0.97473604826546,0.9971710749607021,0.9741935483870968,0.9805194805194806,0.967948717948718,1
you_foulbrood,efficientnetv2_proposal,30:70,0.9192825112107623,0.8869594336012246,0.9757941063911213,0.9899779349504678,0.94375,0.9207317073170732,0.967948717948718,1
you_foulbrood,efficientnetv2_proposal,50:50,0.9171974522292994,0.9171974522292994,0.9761450768793866,0.9657555292831301,0.9212121212121213,0.8786127167630058,0.9681528662420382,1
you_foulbrood,efficientnetv2_proposal,70:30,0.888,0.9085714285714286,0.9714285714285713,0.9265428404459257,0.8372093023255814,0.7422680412371134,0.96,1
you_foulbrood,efficientnetv2_proposal,90:10,0.8711340206185567,0.9285714285714286,0.9837593984962405,0.8710046817285695,0.6031746031746031,0.4318181818181818,1.0,1
you_foulbrood,efficientnetv2_proposal,10:90,0.9533678756476683,0.9038112522686026,0.9600725952813067,0.995196534619057,0.9739130434782609,0.9824561403508771,0.9655172413793104,2
you_foulbrood,efficientnetv2_proposal,30:70,0.92,0.8895238095238096,0.9741714285714285,0.989074287931664,0.9441340782122905,0.9234972677595629,0.9657142857142857,2
you_foulbrood,efficientnetv2_proposal,50:50,0.8955696202531646,0.8955696202531646,0.9753645249158789,0.9775077173789408,0.9020771513353115,0.8491620111731844,0.9620253164556962,2
you_foulbrood,efficientnetv2_proposal,70:30,0.875,0.906550052286339,0.9820325125962545,0.9640748434872625,0.825,0.7096774193548387,0.9850746268656716,2
you_foulbrood,efficientnetv2_proposal,90:10,0.8390804597701149,0.8846009741476208,0.9711502435369053,0.866017316017316,0.5333333333333333,0.37209302325581395,0.9411764705882353,2
