task,model,n_folds,BA_mean,BA_sd,Sensitivity_mean,Sensitivity_sd,Specificity_mean,Specificity_sd,Precision_mean,Precision_sd,F1_mean,F1_sd,AUROC_mean,AUROC_sd,Loss_mean,Loss_sd
you_chalk_brood,coatnet,3,0.9559161475499408,0.012780434961595704,0.9263279910557043,0.030142837123780977,0.9855043040441774,0.02067255794450061,0.9814499874023683,0.028215302741037986,0.9542443361333716,0.016899869334297758,0.9882600008592047,0.009044028157917343,0.12658978597850903,0.029220333592839168
you_chalk_brood,conformer,3,0.9524904629006143,0.02801453188231328,0.9373758162835765,0.03273940148702919,0.9676051095176521,0.02975641818127396,0.9695148364739007,0.02652071943653741,0.9523725801144572,0.03103407297405009,0.9904743524290985,0.010081104545377499,0.1035133594507846,0.06099452259377544
you_chalk_brood,crossvit,3,0.953833090808084,0.02126536628912705,0.927711116920158,0.027791581995155645,0.9799550646960099,0.01878058296811117,0.9791199551569507,0.01808278501523971,0.9532238437434106,0.02472386650158126,0.984953517722599,0.01356209401793088,0.12027244113138953,0.052175520108227444
you_chalk_brood,densenet121,3,0.9553420662949564,0.018365381443107023,0.9497110408298264,0.028512631995562986,0.9609730917600862,0.008674379441486196,0.959085216090047,0.0020871285217154323,0.9541469662618867,0.01970820828506697,0.9875291479222518,0.0016725094046706073,0.13691144115780599,0.03333268869370089
you_chalk_brood,efficientnetv2,3,0.9515441172681007,0.01603039417850668,0.9477013969939411,0.012984972817029317,0.9553868375422606,0.024832109212882415,0.9536097962279187,0.025306242563115734,0.9508863152890572,0.016898415202771116,0.9901424225802579,0.005394347060325543,0.3465656173938841,0.12325109709059197
you_chalk_brood,lgca_net_cnn_only,3,0.9569282202511946,0.020043252116370824,0.923561739326797,0.03486348374517418,0.9902947011755923,0.005516221265495524,0.9896312886234498,0.0036624198171699577,0.956043302028243,0.024931799855469294,0.9852687093530221,0.013011691602293493,0.12596220881001832,0.06916971552296482
you_chalk_brood,lgca_net_no_cross_attn,3,0.9566223971273159,0.024112712835158336,0.9221786134623433,0.03723057571072365,0.9910661807922887,0.011040340763543982,0.9916341780376868,0.009387681963131313,0.9559662836880746,0.029194548831209016,0.9859846464542104,0.0139356214420486,0.11167007168638361,0.07053429566388572
you_chalk_brood,lgca_net,3,0.9561981878559992,0.022777425082072623,0.9249448651912506,0.03250057619319458,0.9874515105207476,0.013361067801643476,0.988032351448951,0.01145551109731085,0.9557465295641591,0.027380278177009686,0.9861044889682636,0.012730643590258266,0.11377836483521775,0.0571025646054248
you_chalk_brood,lsnet_t,3,0.9640726223220533,0.008356407144056407,0.9415337847208161,0.01406492015239503,0.9866114599232904,0.004993477944471114,0.9856188655379015,0.004401862409025122,0.9638073702563658,0.011704017057974959,0.9932052771256011,0.0041429063491478894,0.10843690270194,0.0169626145140494
you_chalk_brood,mambavision,3,0.9683247897315255,0.014088095694087055,0.9649254253388168,0.003864684293630828,0.9717241541242343,0.026268873777917368,0.9737917000279501,0.01696944211744211,0.9689223602391223,0.014147157409899276,0.9943270780815462,0.0024914081382282683,0.11336613936973632,0.031029723127063855
you_chalk_brood,nextvit_small,3,0.9575741519893324,0.014875635762786566,0.9263279910557043,0.030142837123780977,0.9888203129229604,0.011459976758567992,0.9865111367127497,0.016057081464782772,0.9563985804390799,0.0192826705371442,0.982564171836049,0.008533304779364332,0.14131873311208162,0.019683371938441184
you_chalk_brood,resnet50,3,0.9676452313347109,0.010769680854593382,0.9600887802351682,0.008125570148338382,0.9752016824342533,0.01539006144564416,0.9755532392220135,0.007974416195258531,0.9677967875614941,0.011547338671312699,0.9910333184752932,0.003883160646048248,0.1209829134943447,0.03289539416508415
you_foulbrood,coatnet,3,0.9674984867873443,0.032696983710411666,0.9417570930172902,0.0667445653842199,0.9932398805573989,0.007358763062175691,0.994396551724138,0.0063495344235587,0.9639896483822751,0.042366370900577564,0.989969126551831,0.012101036396681128,0.24851290697179418,0.3341733628364408
you_foulbrood,conformer,3,0.9796769398893627,0.0157711288084584,0.9654634403912917,0.031818139239672,0.9938904393874338,0.001043783009443897,0.9919853972273116,0.005056547735272974,0.9768447770547003,0.02023621934031657,0.9941353728218477,0.009300019874163493,0.12459273717334678,0.1662485011950191
you_foulbrood,crossvit,3,0.9658706942763334,0.0074707779357269365,0.9409345980195988,0.01783850419682296,0.9908067905330679,0.011363358863666824,0.9922402159244265,0.01013831255149578,0.9652818068875294,0.015817215476861126,0.9837066631775739,0.010282277686643408,0.139013794972668,0.07520117699940712
you_foulbrood,densenet121,3,0.9695382215623063,0.016146799173125143,0.943403472542883,0.02937406395304947,0.9956729705817297,0.003833591702959311,0.9964464733261726,0.0033211156353084668,0.9670389273702008,0.022969843579410072,0.9809859847999457,0.024616295581590193,0.1617845407549736,0.16854395535823408
you_foulbrood,efficientnetv2,3,0.9533710647842063,0.018433793618073468,0.9276153096300858,0.0347021460768875,0.979126819938327,0.009389262858327137,0.9765308166336745,0.00608379804755359,0.9507265852582103,0.025932555257232193,0.9889125556949336,0.008705239261457519,0.4843669777257364,0.4275699778556697
