task,model,n,BA,BA_lo,BA_hi,Sensitivity,Sensitivity_lo,Sensitivity_hi,Specificity,Specificity_lo,Specificity_hi,Precision,Precision_lo,Precision_hi,F1,F1_lo,F1_hi,AUROC,AUROC_lo,AUROC_hi,Loss,Loss_lo,Loss_hi
you_chalk_brood,nextvit_small,1000,0.954,0.9410000000000001,0.966,0.918,0.894,0.94,0.99,0.98,0.998,0.9892241379310345,0.9786780383795309,0.9978260869565218,0.9539403066374021,0.9409186566660772,0.9659804829960728,0.983416,0.9757479,0.990188,0.14521083398566434,0.10790909014208427,0.18687884180398745
you_chalk_brood,resnet50,1000,0.966,0.955,0.976,0.958,0.94,0.974,0.974,0.96,0.986,0.9735772357723578,0.9595121170065122,0.9857142857142858,0.9659978238607271,0.9549963547047311,0.975999903999616,0.988184,0.9810871999999999,0.9940762999999999,0.1268461597768228,0.08702208161742106,0.17050449117826277
you_foulbrood,coatnet,1000,0.9570000000000001,0.944,0.97,0.92,0.894,0.944,0.994,0.986,1.0,0.9935205183585313,0.9850107066381156,1.0,0.9569410523005994,0.9438812527307783,0.9699729756781104,0.983642,0.9746933499999999,0.9908490999999999,0.3110114868564529,0.20916853637827862,0.4257454999104447
you_foulbrood,conformer,1000,0.974,0.964,0.983,0.954,0.934,0.972,0.994,0.986,1.0,0.99375,0.9854771784232366,1.0,0.9739895958383353,0.9639629791531612,0.9829986228884539,0.985344,0.9762557000000001,0.9926962,0.1564088995424254,0.09439744120658831,0.2306140588645745
you_foulbrood,crossvit,1000,0.964,0.952,0.975,0.936,0.914,0.956,0.992,0.984,0.998,0.9915254237288136,0.9829059829059829,0.9979036735875372,0.9639717538550224,0.9519506388708815,0.9749889701358299,0.986604,0.9799267,0.9924601,0.1535600382614648,0.1081198059235685,0.20289927146483383
you_foulbrood,densenet121,1000,0.964,0.952,0.975,0.932,0.908,0.954,0.996,0.99,1.0,0.9957264957264957,0.9892703862660944,1.0,0.9639630982125698,0.951897990025912,0.9749889701358299,0.978984,0.9683,0.9882101999999999,0.19426870102310945,0.12767087492327983,0.27059471690238196
you_foulbrood,efficientnetv2,1000,0.948,0.9339999999999999,0.9610000000000001,0.916,0.89,0.94,0.98,0.968,0.992,0.9786324786324786,0.965955632173479,0.9912285500403086,0.9479466974181562,0.9338833702651477,0.9609859159156455,0.987744,0.9822514,0.9923042,0.5670531752529546,0.3699246419223037,0.7935913388867202
you_foulbrood,lgca_net_cnn_only,1000,0.8220000000000001,0.798,0.846,0.81,0.776,0.844,0.834,0.802,0.866,0.8299180327868853,0.8028712341183265,0.8580375782881002,0.8219743643084603,0.7978409209543332,0.8459945328044131,0.92872,0.91316,0.9431906,0.3492730469314083,0.3065492949805469,0.3905567548872731
you_foulbrood,lgca_net_no_cross_attn,1000,0.901,0.883,0.9179999999999999,0.818,0.784,0.852,0.984,0.972,0.994,0.9808153477218226,0.9672111906411144,0.9926470588235294,0.9003132580346005,0.8817917202697899,0.9175967927127052,0.955,0.9428408,0.9654362,0.31494427873846415,0.25981699828246174,0.3725928106772795
you_foulbrood,lgca_net,1000,0.894,0.875,0.9119999999999999,0.798,0.762,0.832,0.99,0.98,0.998,0.9876237623762376,0.9760765550239234,0.9974811083123426,0.8930140171823525,0.8734956091799534,0.9114331723027376,0.955564,0.9437127,0.9661046999999999,0.26850406314441716,0.22848986674107746,0.31107696939932006
you_foulbrood,lsnet_t,1000,0.946,0.931,0.9590000000000001,0.91,0.882,0.934,0.982,0.97,0.992,0.9806034482758621,0.9679452789699571,0.9914163090128756,0.9459299251830372,0.9309051465462079,0.9589656049575196,0.983972,0.9760675000000001,0.9905330999999999,0.1720069410424039,0.12857098374435666,0.21864123140826264
you_foulbrood,mambavision,1000,0.9630000000000001,0.9510000000000001,0.974,0.934,0.912,0.954,0.992,0.984,0.998,0.9915074309978769,0.9830148619957537,0.9978947368421053,0.9629688568085759,0.9509092311684304,0.9739874645546932,0.97714,0.9661672,0.9862964,0.25403281136450806,0.1701519903895141,0.3522556331987599
you_foulbrood,nextvit_small,1000,0.9490000000000001,0.935,0.962,0.934,0.91,0.956,0.964,0.946,0.98,0.9628865979381444,0.9458890672912089,0.978992697708014,0.9489885224175441,0.9349654406205273,0.9619945690221197,0.980676,0.971132,0.9887646999999999,0.1976094627331177,0.1356800663312946,0.26749788194818475
you_foulbrood,resnet50,1000,0.956,0.9430000000000001,0.968,0.938,0.916,0.958,0.974,0.958,0.986,0.9730290456431535,0.95765915200391,0.9855386780260518,0.955985739379559,0.9429372421189135,0.9679953913363524,0.98246,0.9743156,0.9897456,0.16321205632707128,0.11657608119612142,0.21458888562199452
