task,fold,reference,model,n,auc_ref,auc_model,auc_diff,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_n_discordant,mcnemar_p,delong_p_holm,delong_sig,mcnemar_p_holm,mcnemar_sig
you_chalk_brood,0,lgca_net,coatnet,429,0.9715502780965835,0.9779509137459168,-0.006400635649333353,-1.5696777261684736,0.1164901056601727,0,5,5,0.0625,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,coatnet,342,0.9915926014893104,0.9919700765244841,-0.0003774750351737133,-0.6263483573152567,0.5310864746623398,0,2,2,0.5,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,coatnet,229,0.995170587318897,0.994859012307213,0.0003115750116839955,0.21927140189221184,0.8264386378172365,5,0,5,0.0625,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,conformer,429,0.9715502780965835,0.9788337600423767,-0.007283481945793202,-1.984013615972708,0.04725432205754132,10,7,17,0.629058837890625,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,conformer,342,0.9915926014893104,0.9963281973851275,-0.0047355958958170685,-2.1453693165003425,0.03192333035289025,6,5,11,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,conformer,229,0.995170587318897,0.9962610998597912,-0.0010905125408942062,-0.5895371816888975,0.5555009774771281,0,0,0,1.0,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,crossvit,429,0.9715502780965835,0.9692990200406111,0.0022512580559723716,0.5444374378635767,0.58614048908937,6,6,12,1.0,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,crossvit,342,0.9915926014893104,0.9924161833842353,-0.0008235818949249296,-1.083982141458022,0.27837271710635547,0,2,2,0.5,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,crossvit,229,0.995170587318897,0.9931453497429505,0.0020252375759464147,0.9461475448638089,0.3440733364345795,3,0,3,0.25,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,densenet121,429,0.9715502780965835,0.9857199611547629,-0.01416968305817945,-2.7071561258538868,0.0067862334585781,8,11,19,0.6476058959960938,0.4343189413489984,0,1.0,0
you_chalk_brood,1,lgca_net,densenet121,342,0.9915926014893104,0.9890189080676708,0.0025736934216396,0.5017852412521638,0.6158185958940545,7,6,13,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,densenet121,229,0.995170587318897,0.9878485745443215,0.007322012774575448,0.8468894628070618,0.39705673630464244,4,2,6,0.6875,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,efficientnetv2,429,0.9715502780965835,0.9844619051823078,-0.012911627085724353,-2.2989804726159937,0.021506048189197154,11,15,26,0.557197093963623,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,efficientnetv2,342,0.9915926014893104,0.9951957722796059,-0.0036031707902954846,-1.6646514985862801,0.0959823046158833,3,4,7,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,efficientnetv2,229,0.995170587318897,0.9907695902788596,0.00440099704003738,0.9484950728084394,0.3428774799780059,7,1,8,0.0703125,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,lgca_net_cnn_only,429,0.9715502780965835,0.9703142932815398,0.0012359848150436115,0.28035294104949243,0.7792067374586502,1,2,3,1.0,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,lgca_net_cnn_only,342,0.9915926014893104,0.9914896537524449,0.00010294773686547742,0.1699058568094096,0.8650841750275562,0,1,1,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,lgca_net_cnn_only,229,0.995170587318897,0.9940021810250819,0.001168406293815094,0.7848174278701724,0.4325606204272259,1,0,1,1.0,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,lgca_net_no_cross_attn,429,0.9715502780965835,0.9698949412907214,0.001655336805862051,0.6226840325132168,0.5334921776344975,2,1,3,1.0,1.0,0,1.0,0
you_chalk_brood,1,lgca_net,lgca_net_no_cross_attn,342,0.9915926014893104,0.9938231357880647,-0.0022305342987543053,-1.557792614001952,0.11928241744921528,0,1,1,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,lgca_net_no_cross_attn,229,0.995170587318897,0.9942358622838448,0.0009347250350522085,0.8217187572958715,0.41123698115525764,0,0,0,1.0,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,lsnet_t,429,0.9715502780965835,0.9886774962479032,-0.01712721815131979,-2.650170263214763,0.008045121566741675,2,13,15,0.00738525390625,0.49879753713798386,0,0.46527099609375,0
you_chalk_brood,1,lgca_net,lsnet_t,342,0.9915926014893104,0.9941319789986616,-0.0025393775093511817,-1.314960873157163,0.18852305259274116,3,4,7,1.0,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,lsnet_t,229,0.995170587318897,0.9968063561302385,-0.0016357688113415314,-0.9111754229629607,0.3622029513764977,1,0,1,1.0,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,mambavision,429,0.9715502780965835,0.9914584620817515,-0.019908183985168026,-3.485755461650959,0.0004907493952561996,10,22,32,0.050102459732443094,0.03238946008690917,1,1.0,0
you_chalk_brood,1,lgca_net,mambavision,342,0.9915926014893104,0.9955732473147798,-0.00398064582546942,-2.0790927038059115,0.037608830592380946,2,6,8,0.2890625,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,mambavision,229,0.995170587318897,0.9959495248481072,-0.0007789375292102108,-0.40415105577009147,0.686101642666922,2,2,4,1.0,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,nextvit_small,429,0.9715502780965835,0.9812836585150526,-0.009733380418469162,-2.5424621531932834,0.011007452142905487,1,5,6,0.21875,0.6714545807172347,0,1.0,0
you_chalk_brood,1,lgca_net,nextvit_small,342,0.9915926014893104,0.9747434885556432,0.0168491129336672,1.9121758245617322,0.05585364585289644,0,2,2,0.5,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,nextvit_small,229,0.995170587318897,0.9916653684374512,0.0035052188814457264,1.1154216640422825,0.26466977019416393,3,0,3,0.25,1.0,0,1.0,0
you_chalk_brood,0,lgca_net,resnet50,429,0.9715502780965835,0.9883243577293195,-0.016774079632736028,-2.8455111678475484,0.00443402045952227,7,20,27,0.0191572904586792,0.2882113298689476,0,1.0,0
you_chalk_brood,1,lgca_net,resnet50,342,0.9915926014893104,0.989293435365979,0.0022991661233313643,0.4420470198520017,0.6584551812468105,2,4,6,0.6875,1.0,0,1.0,0
you_chalk_brood,2,lgca_net,resnet50,229,0.995170587318897,0.995482162330581,-0.0003115750116839955,-0.18729885729272736,0.8514263188818036,2,2,4,1.0,1.0,0,1.0,0
you_foulbrood,0,lgca_net,coatnet,297,0.991514598540146,0.999087591240876,-0.007572992700729975,-2.479737114379359,0.013147927876145769,2,15,17,0.002349853515625,0.5522129707981223,0,0.10809326171875,0
you_foulbrood,1,lgca_net,coatnet,260,0.9844700021976412,0.9945791517104975,-0.010109149512856241,-1.5902016296621173,0.11178936330156355,0,6,6,0.03125,1.0,0,1.0,0
